app,machine,scene,layout,ray_count,hits,trace_time-ms,group,ray_type,total-memory-b,bvh-memory-b
rt,x86,lucy,pbrt-q16-soaos,4194304,3153714,144,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,8388608,6308380,279,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,262144,196779,13,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,524288,393812,20,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,1048576,787966,38,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,2097152,1576388,77,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,4194304,3153714,149,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,8388608,6308380,279,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,262144,196779,13,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,524288,393812,20,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,1048576,787966,39,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,2097152,1576388,74,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,4194304,3153714,146,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,8388608,6308380,279,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,262144,196779,13,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,524288,393812,20,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,1048576,787966,39,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,2097152,1576388,77,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,4194304,3153714,144,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,8388608,6308380,278,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-soaos-align16,262144,196779,12,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,524288,393812,19,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,1048576,787966,35,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,2097152,1576388,66,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,4194304,3153714,127,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,8388608,6308380,244,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,262144,196779,13,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,524288,393812,18,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,1048576,787966,34,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,2097152,1576388,66,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,4194304,3153714,129,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,8388608,6308380,240,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,262144,196779,12,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,524288,393812,18,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,1048576,787966,34,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,2097152,1576388,65,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,4194304,3153714,127,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,8388608,6308380,241,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,262144,196779,12,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,524288,393812,18,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,1048576,787966,35,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,2097152,1576388,65,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,4194304,3153714,125,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,8388608,6308380,240,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,262144,196779,12,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,524288,393812,19,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,1048576,787966,35,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,2097152,1576388,66,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,4194304,3153714,125,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,8388608,6308380,240,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,262144,196779,12,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,524288,393812,18,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,1048576,787966,35,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,2097152,1576388,66,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,4194304,3153714,126,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,8388608,6308380,240,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,262144,196779,12,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,524288,393812,18,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,1048576,787966,35,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,2097152,1576388,67,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,4194304,3153714,126,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,8388608,6308380,240,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,262144,196779,13,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,524288,393812,19,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,1048576,787966,34,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,2097152,1576388,65,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,4194304,3153714,125,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,8388608,6308380,240,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,262144,196779,12,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,524288,393812,26,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,1048576,787966,34,bvh2,primary,1266374928,256368720
